product_id,category,tag,polarity,count,ratio
p_dress_001,女装,质量好,positive,128,0.35
p_dress_001,女装,面料不错,positive,96,0.26
p_dress_001,女装,做工细致,positive,88,0.24
p_dress_001,女装,发货快,positive,76,0.21
p_dress_001,女装,尺码合适,positive,65,0.18
p_dress_001,女装,容易卷边,negative,45,0.12
p_dress_001,女装,面料差,negative,38,0.10
p_dress_001,女装,建议买大一码,negative,32,0.09
p_shoes_002,鞋靴,外观好看,positive,54,0.41
p_shoes_002,鞋靴,鞋垫不平,negative,21,0.16
p_shoes_002,鞋靴,疑似非正品,negative,18,0.14
p_phone_003,数码,质量好,positive,210,0.48
p_phone_003,数码,性价比高,positive,156,0.36
p_phone_003,数码,价格贵,negative,89,0.20
p_phone_003,数码,容易坏,negative,42,0.10
p_phone_003,数码,客服差,negative,37,0.08
p_snack_004,食品,味道不错,positive,77,0.52
p_snack_004,食品,香味不对,negative,19,0.13
p_snack_004,食品,疑似假货,negative,12,0.08
