review_id,sentence,tags
train_0000,散热很好。料子很不错。走线缝合得很整齐,做工细致|不发烫|面料不错
train_0001,包装像高仿的,疑似非正品
train_0002,针脚都不齐,做工粗糙
train_0003,上脚舒服，怀疑买到假货了，温度控制得很好,穿着舒适|不发烫|疑似假货
train_0004,用起来很稳,质量好
train_0005,味道很不错，另外发货速度一流,发货快|味道不错
train_0006,质量太差，容易坏,容易坏
train_0007,鞋垫粘歪了，价格太贵了,鞋垫不平|价格贵
train_0008,香味怪怪的，同时续航很久，同时边缘老是卷着,容易卷边|香味不对|续航久
train_0009,香味浓郁,香味纯正
train_0010,找客服也没人理，同时食材很新鲜,客服差|很新鲜
train_0011,一会儿就没电了,续航差
train_0012,电池耐用。跟以前买的不一样，像假的。口感平平,续航久|味道一般|疑似假货
train_0013,一会儿就没电了,续航差
train_0014,香气跟以前不一样,香味不对
train_0015,缝线歪歪扭扭，另外客服态度差,客服差|做工粗糙
train_0016,日期很新，很新鲜，而且电池耐用,续航久|很新鲜
train_0017,售后一直联系不上。面料质感很棒。跟以前买的不一样，像假的,疑似假货|客服差|面料不错
train_0018,面料很差，而且做工粗糙,做工粗糙|面料差
train_0019,尺码偏小，大一号合适。鞋底软，很舒服。做工马马虎虎,建议买大一码|穿着舒适|做工粗糙
train_0020,续航太差了,续航差
train_0021,料子不行，容易起球，另外续航很久,面料差|续航久
train_0022,很新鲜,很新鲜
train_0023,版型显瘦，而且味道不咋地，而且面料很差,面料差|味道一般|版型好看
train_0024,不怎么发热，同时穿上很显身材，同时料子不行，容易起球,面料差|版型好看|不发烫
train_0025,价钱有点高,价格贵
train_0026,做工马马虎虎,做工粗糙
train_0027,面料摸起来很廉价，而且物流很快，而且一会儿就没电了,面料差|发货快|续航差
train_0028,布料太差了，另外面料质感很棒，另外用起来很稳,面料差|面料不错|质量好
train_0029,做工细致。颜值很高。食材很新鲜,很新鲜|做工细致|外观好看
train_0030,不怎么发热,不发烫
train_0031,做工粗糙,做工粗糙
train_0032,版型显瘦,版型好看
train_0033,物美价廉，而且怀疑买到假货了，而且味道正,性价比高|味道不错|疑似假货
train_0034,细节处理得很好,做工细致
train_0035,很新鲜，另外建议买大一码,建议买大一码|很新鲜
train_0036,香味浓郁，而且鞋垫不平整，而且用一会就发热,容易发热|鞋垫不平|香味纯正
train_0037,客服态度差，另外没什么特别,味道一般|客服差
train_0038,电池耐用，另外价格太贵了，另外做工细致,做工细致|价格贵|续航久
train_0039,香气很纯正，另外味道正,味道不错|香味纯正
train_0040,尺码刚刚好,尺码合适
train_0041,做工扎实，同时尺码偏小，大一号合适,建议买大一码|质量好
train_0042,价格太贵了,价格贵
train_0043,性价比不高，偏贵,价格贵
train_0044,价钱有点高，而且味道一般，而且版型好看,味道一般|价格贵|版型好看
train_0045,感觉不是正品，另外做工很精致,做工细致|疑似非正品
train_0046,发热严重，另外版型显瘦，另外不像正品,疑似非正品|版型好看|容易发热
train_0047,一会儿就没电了,续航差
train_0048,做工马马虎虎，面料很差,面料差|做工粗糙
train_0049,客服没人管，同时剪裁很正，同时口感很好,味道不错|版型好看|客服差
train_0050,日期很新，很新鲜,很新鲜
train_0051,电池不耐用，剪裁很正，不怎么发热,版型好看|不发烫|续航差
train_0052,找客服也没人理。物流很快。可能是假货,疑似假货|发货快|客服差
train_0053,客服没人管，同时香气很纯正,客服差|香味纯正
train_0054,连续用也不烫手,不发烫
train_0055,没什么特别，而且面料很好，而且售后一直联系不上,客服差|味道一般|面料不错
train_0056,用几天就坏了，同时闻起来不对劲，同时价钱有点高,价格贵|香味不对|容易坏
train_0057,用几天就坏了,容易坏
train_0058,用几天就坏了，另外布料太差了，另外细节处理得很好,做工细致|容易坏|面料差
train_0059,味道不咋地,味道一般
train_0060,面料质感很棒，另外香味浓郁，另外鞋垫不平整,香味纯正|面料不错|鞋垫不平
train_0061,香味自然不刺鼻,香味纯正
train_0062,闻起来不对劲,香味不对
train_0063,鞋垫不平整，而且香味怪怪的,香味不对|鞋垫不平
train_0064,用一会就发热。找客服也没人理,容易发热|客服差
