review_id,product_id,category,aspect,opinion,polarity,tag
r001,p_dress_001,女装,质量,很好,positive,质量好
r001,p_dress_001,女装,面料,很不错,positive,面料不错
r001,p_dress_001,女装,做工,细致,positive,做工细致
r001,p_dress_001,女装,款式,好看,positive,款式好看
r001,p_dress_001,女装,穿着效果,很漂亮,positive,上身漂亮
r002,p_dress_001,女装,版型,会卷,negative,容易卷边
r002,p_dress_001,女装,尺码,建议买大,negative,建议买大一码
r003,p_dress_001,女装,尺码,合适,positive,尺码合适
r003,p_dress_001,女装,物流,很快,positive,发货快
r004,p_dress_001,女装,面料,很差,negative,面料差
r005,p_shoes_002,鞋靴,鞋垫,胶凹凸不平,negative,鞋垫不平
r005,p_shoes_002,鞋靴,真伪,感觉不是正品,negative,疑似非正品
r006,p_shoes_002,鞋靴,外观,非常好看,positive,外观好看
r007,p_phone_003,数码,质量,好,positive,质量好
r007,p_phone_003,数码,价格,贵,negative,价格贵
r007,p_phone_003,数码,性价比,划算,positive,性价比高
r008,p_phone_003,数码,耐用性,一个星期就坏了,negative,容易坏
r008,p_phone_003,数码,客服,没人管,negative,客服差
r009,p_snack_004,食品,口味,不错,positive,味道不错
r010,p_snack_004,食品,香气,跟以前不一样,negative,香味不对
r010,p_snack_004,食品,真伪,不知道是不是假的,negative,疑似假货
