category,aspect,tag,polarity
女装,面料,面料不错,positive
女装,面料,面料差,negative
女装,做工,做工细致,positive
女装,做工,做工粗糙,negative
女装,版型,版型好看,positive
女装,版型,容易卷边,negative
女装,尺码,尺码合适,positive
女装,尺码,建议买大一码,negative
女装,物流,发货快,positive
女装,质量,质量好,positive
鞋靴,外观,外观好看,positive
鞋靴,舒适度,穿着舒适,positive
鞋靴,鞋垫,鞋垫不平,negative
鞋靴,真伪,疑似非正品,negative
数码,质量,质量好,positive
数码,续航,续航久,positive
数码,续航,续航差,negative
数码,发热,不发烫,positive
数码,发热,容易发热,negative
数码,价格,性价比高,positive
数码,价格,价格贵,negative
数码,耐用性,容易坏,negative
数码,客服,客服差,negative
食品,口味,味道不错,positive
食品,口味,味道一般,negative
食品,香气,香味纯正,positive
食品,香气,香味不对,negative
食品,真伪,疑似假货,negative
食品,新鲜度,很新鲜,positive
